date,O3,CO,NO2,SO2
2026-02-10,0.114469004339642,0.0297532149336554,3.646334377716652e-05,2.465022424241232e-05
2026-05-21,0.115913121898969,0.0290168914943933,,-3.459831981961708e-05
2026-05-19,0.1145704158478313,0.0257744301938348,2.208632577094249e-05,4.744966614013939e-05
2026-05-23,0.1181670483615663,0.0260443534934893,3.270995957791456e-05,0.0001723273528104
2026-05-25,0.1164599713351991,,3.7823848090382576e-05,9.006885288966402e-05
2026-05-26,0.1159769596325026,0.0283766515552997,2.689686094122913e-05,5.501198280018248e-05
2026-05-20,0.1163970576392279,0.023994984726111,2.007188779518603e-05,-2.820248157245499e-05
2026-05-22,0.1160136845376756,0.0278436950097481,2.9120137779417828e-05,4.263239588908618e-05
2026-05-24,0.1167237730489836,0.0268541318260961,2.219725078807992e-05,2.210677889201583e-05
2026-07-09,0.1188618731167581,0.0323822694786247,,-6.636368242453034e-06
2026-07-07,0.1163059226340717,,,-3.689344954306183e-05
2026-07-08,0.1179147258400917,0.0336163238223109,2.410595106994151e-05,-2.9745090159849497e-06
2026-07-06,,0.0315684117376804,,0.000174333766568
2026-07-21,0.1132341666354073,0.0267374767311688,,1.4938743940244118e-05
2026-07-15,0.117135058177842,0.029623351411687,2.726934746113749e-05,0.000500780132175
2026-07-20,0.1152273966206444,,1.799629623227312e-05,-1.8976381519072068e-05
2026-07-17,0.1163591543833414,0.0325435402492682,2.6522781726353887e-05,0.0003829320534957
2026-07-16,0.1154840500818358,,,3.7560535236392045e-05
2026-07-14,0.1167298967639605,0.0333554871380329,,-1.5801776756947022e-05
2026-07-19,0.1168405650390519,0.0361037794057102,1.7983728980652813e-05,-9.674462085563897e-06
2026-07-18,0.1155133388108677,0.0308110299878395,,-4.459721498682888e-05
2025-09-25,0.1131568514638476,,,
2025-09-27,0.1163812908861372,0.0317362572169966,,
2025-09-23,0.113562540213267,0.033030348217913,,
2025-09-24,0.1133267573184437,0.0262279245588514,7.071720233398082e-06,0.0001079908397514
2025-09-21,0.1129816576838493,0.0315481912429359,3.4054188977784684e-05,1.7318863488721297e-05
2025-09-22,0.1137563044826189,0.0390352311233679,4.71474572501999e-05,3.821397311235665e-05
2025-09-28,0.117215179072486,0.0287795624264129,3.4104555711997995e-05,9.3344099392804e-05
2025-09-26,0.1142668800221549,0.0356083371277366,3.619322465178934e-05,-0.0001851424643367
2026-01-23,0.1122669564353095,,3.3241522517831373e-05,0.0002534817895341
2026-01-25,0.1140553618470827,0.0268861441096911,3.8458156753525447e-05,-7.732606438865402e-05
2026-01-19,0.1147723663184377,0.0275342628275128,3.386991152688602e-05,0.0001838768514752
2026-01-21,0.1126127322514851,0.0291471681718168,2.7477497254343083e-05,0.0002929412174339
2026-01-22,0.1123412541217274,,2.7482558228560567e-05,-3.5113071974662417e-05
